date,region,channel,spend_usd
2023-01-14,US,paid_search,141.91
2023-01-14,US,organic,16.78
2023-01-14,US,social,113.17
2023-01-14,US,email,13.74
2023-01-14,US,referral,22.48
2023-01-15,US,paid_search,137.02
2023-01-15,US,organic,22.12
2023-01-15,US,social,136.41
2023-01-15,US,email,11.0
2023-01-15,US,referral,25.15
2023-01-16,US,paid_search,243.55
2023-01-16,US,organic,19.6
2023-01-16,US,social,100.18
2023-01-16,US,email,11.02
2023-01-16,US,referral,27.68
2023-01-17,US,paid_search,171.58
2023-01-17,US,organic,24.93
2023-01-17,US,social,116.72
2023-01-17,US,email,24.71
2023-01-17,US,referral,28.62
2023-01-18,US,paid_search,194.66
2023-01-18,US,organic,20.97
2023-01-18,US,social,82.05
2023-01-18,US,email,16.27
2023-01-18,US,referral,23.15
2023-01-19,US,paid_search,187.58
2023-01-19,US,organic,26.59
2023-01-19,US,social,67.35
2023-01-19,US,email,19.27
2023-01-19,US,referral,33.23
2023-01-20,US,paid_search,174.69
2023-01-20,US,organic,9.39
2023-01-20,US,social,76.32
2023-01-20,US,email,19.86
2023-01-20,US,referral,24.86
2023-01-21,US,paid_search,135.03
2023-01-21,US,organic,17.48
2023-01-21,US,social,108.91
2023-01-21,US,email,17.05
2023-01-21,US,referral,23.51
2023-01-22,US,paid_search,163.49
2023-01-22,US,organic,18.04
2023-01-22,US,social,69.25
2023-01-22,US,email,21.06
2023-01-22,US,referral,22.99
2023-01-23,US,paid_search,234.77
2023-01-23,US,organic,27.61
2023-01-23,US,social,112.46
2023-01-23,US,email,13.38
2023-01-23,US,referral,27.52
2023-01-24,US,paid_search,178.91
2023-01-24,US,organic,15.48
2023-01-24,US,social,97.3
2023-01-24,US,email,10.58
2023-01-24,US,referral,32.42
2023-01-25,US,paid_search,159.09
2023-01-25,US,organic,21.01
2023-01-25,US,social,96.37
2023-01-25,US,email,14.03
2023-01-25,US,referral,28.67
2023-01-26,US,paid_search,158.63
2023-01-26,US,organic,24.36
2023-01-26,US,social,59.72
2023-01-26,US,email,15.47
2023-01-26,US,referral,37.12
2023-01-27,US,paid_search,134.99
2023-01-27,US,organic,16.61
2023-01-27,US,social,101.56
2023-01-27,US,email,15.67
2023-01-27,US,referral,27.19
2023-01-28,US,paid_search,202.01
2023-01-28,US,organic,23.17
2023-01-28,US,social,114.97
2023-01-28,US,email,16.54
2023-01-28,US,referral,23.49
2023-01-29,US,paid_search,210.27
2023-01-29,US,organic,29.5
2023-01-29,US,social,87.02
2023-01-29,US,email,11.35
2023-01-29,US,referral,31.92
2023-01-30,US,paid_search,174.58
2023-01-30,US,organic,9.14
2023-01-30,US,social,109.07
2023-01-30,US,email,12.99
2023-01-30,US,referral,24.43
2023-01-31,US,paid_search,194.94
2023-01-31,US,organic,20.95
2023-01-31,US,social,105.96
2023-01-31,US,email,13.37
2023-01-31,US,referral,28.21
2023-02-01,US,paid_search,168.32
2023-02-01,US,organic,23.69
2023-02-01,US,social,103.85
2023-02-01,US,email,11.49
2023-02-01,US,referral,31.79
2023-02-02,US,paid_search,155.88
2023-02-02,US,organic,24.04
2023-02-02,US,social,98.26
2023-02-02,US,email,21.89
2023-02-02,US,referral,23.6
2023-02-03,US,paid_search,164.28
2023-02-03,US,organic,19.9
2023-02-03,US,social,83.18
2023-02-03,US,email,18.0
2023-02-03,US,referral,14.9
2023-02-04,US,paid_search,132.58
2023-02-04,US,organic,14.66
2023-02-04,US,social,111.38
2023-02-04,US,email,21.41
2023-02-04,US,referral,24.35
2023-02-05,US,paid_search,172.4
2023-02-05,US,organic,20.35
2023-02-05,US,social,116.14
2023-02-05,US,email,11.52
2023-02-05,US,referral,26.49
2023-02-06,US,paid_search,223.88
2023-02-06,US,organic,22.51
2023-02-06,US,social,94.27
2023-02-06,US,email,18.75
2023-02-06,US,referral,8.1
2023-02-07,US,paid_search,210.5
2023-02-07,US,organic,16.73
2023-02-07,US,social,48.81
2023-02-07,US,email,16.92
2023-02-07,US,referral,33.59
2023-02-08,US,paid_search,173.81
2023-02-08,US,organic,24.76
2023-02-08,US,social,126.28
2023-02-08,US,email,19.93
2023-02-08,US,referral,35.25
2023-02-09,US,paid_search,213.4
2023-02-09,US,organic,20.38
2023-02-09,US,social,53.96
2023-02-09,US,email,14.08
2023-02-09,US,referral,19.73
2023-02-10,US,paid_search,277.69
2023-02-10,US,organic,19.12
2023-02-10,US,social,92.77
2023-02-10,US,email,17.07
2023-02-10,US,referral,25.27
2023-02-11,US,paid_search,256.28
2023-02-11,US,organic,16.89
2023-02-11,US,social,94.38
2023-02-11,US,email,12.22
2023-02-11,US,referral,16.75
2023-02-12,US,paid_search,152.47
2023-02-12,US,organic,19.81
2023-02-12,US,social,80.34
2023-02-12,US,email,12.4
2023-02-12,US,referral,16.21
2023-02-13,US,paid_search,176.26
2023-02-13,US,organic,12.48
2023-02-13,US,social,107.1
2023-02-13,US,email,15.31
2023-02-13,US,referral,15.89
2023-02-14,US,paid_search,166.09
2023-02-14,US,organic,16.24
2023-02-14,US,social,97.18
2023-02-14,US,email,20.03
2023-02-14,US,referral,13.28
2023-02-15,US,paid_search,185.18
2023-02-15,US,organic,19.2
2023-02-15,US,social,105.11
2023-02-15,US,email,15.8
2023-02-15,US,referral,20.3
2023-02-16,US,paid_search,165.64
2023-02-16,US,organic,16.02
2023-02-16,US,social,114.21
2023-02-16,US,email,15.08
2023-02-16,US,referral,36.88
2023-02-17,US,paid_search,177.27
2023-02-17,US,organic,16.46
2023-02-17,US,social,55.94
2023-02-17,US,email,8.24
2023-02-17,US,referral,15.1
2023-02-18,US,paid_search,192.02
2023-02-18,US,organic,22.54
2023-02-18,US,social,54.42
2023-02-18,US,email,18.36
2023-02-18,US,referral,21.98
2023-02-19,US,paid_search,186.61
2023-02-19,US,organic,28.06
2023-02-19,US,social,110.18
2023-02-19,US,email,13.99
2023-02-19,US,referral,19.43
2023-02-20,US,paid_search,83.17
2023-02-20,US,organic,16.4
2023-02-20,US,social,85.25
2023-02-20,US,email,11.3
2023-02-20,US,referral,24.18
2023-02-21,US,paid_search,183.46
2023-02-21,US,organic,18.88
2023-02-21,US,social,75.37
2023-02-21,US,email,15.63
2023-02-21,US,referral,27.76
2023-02-22,US,paid_search,130.93
2023-02-22,US,organic,27.05
2023-02-22,US,social,87.78
2023-02-22,US,email,15.07
2023-02-22,US,referral,29.43
2023-02-23,US,paid_search,190.49
2023-02-23,US,organic,24.77
2023-02-23,US,social,96.46
2023-02-23,US,email,12.7
2023-02-23,US,referral,27.26
2023-02-24,US,paid_search,128.53
2023-02-24,US,organic,20.54
2023-02-24,US,social,89.25
2023-02-24,US,email,14.22
2023-02-24,US,referral,24.2
2023-02-25,US,paid_search,95.32
2023-02-25,US,organic,17.26
2023-02-25,US,social,92.09
2023-02-25,US,email,15.6
2023-02-25,US,referral,18.58
2023-02-26,US,paid_search,236.96
2023-02-26,US,organic,15.67
2023-02-26,US,social,111.81
2023-02-26,US,email,16.6
2023-02-26,US,referral,20.96
2023-02-27,US,paid_search,259.89
2023-02-27,US,organic,14.03
2023-02-27,US,social,110.68
2023-02-27,US,email,18.75
2023-02-27,US,referral,20.81
2023-02-28,US,paid_search,242.66
2023-02-28,US,organic,18.75
2023-02-28,US,social,96.5
2023-02-28,US,email,15.98
2023-02-28,US,referral,24.16
2023-03-01,US,paid_search,216.49
2023-03-01,US,organic,23.97
2023-03-01,US,social,50.66
2023-03-01,US,email,19.89
2023-03-01,US,referral,14.61
2023-03-02,US,paid_search,226.46
2023-03-02,US,organic,25.63
2023-03-02,US,social,65.45
2023-03-02,US,email,13.46
2023-03-02,US,referral,18.09
2023-03-03,US,paid_search,170.33
2023-03-03,US,organic,18.46
2023-03-03,US,social,107.54
2023-03-03,US,email,19.91
2023-03-03,US,referral,33.72
2023-03-04,US,paid_search,154.7
2023-03-04,US,organic,18.95
2023-03-04,US,social,52.12
2023-03-04,US,email,11.98
2023-03-04,US,referral,31.03
2023-03-05,US,paid_search,252.7
2023-03-05,US,organic,13.83
2023-03-05,US,social,76.67
2023-03-05,US,email,14.9
2023-03-05,US,referral,26.75
2023-03-06,US,paid_search,143.57
2023-03-06,US,organic,22.12
2023-03-06,US,social,79.34
2023-03-06,US,email,14.95
2023-03-06,US,referral,28.41
2023-03-07,US,paid_search,180.29
2023-03-07,US,organic,17.82
2023-03-07,US,social,87.53
2023-03-07,US,email,14.67
2023-03-07,US,referral,22.69
2023-03-08,US,paid_search,168.35
2023-03-08,US,organic,27.99
2023-03-08,US,social,102.62
2023-03-08,US,email,13.89
2023-03-08,US,referral,29.36
2023-03-09,US,paid_search,164.98
2023-03-09,US,organic,25.87
2023-03-09,US,social,98.32
2023-03-09,US,email,14.6
2023-03-09,US,referral,27.8
2023-03-10,US,paid_search,109.31
2023-03-10,US,organic,14.37
2023-03-10,US,social,63.14
2023-03-10,US,email,15.54
2023-03-10,US,referral,35.83
2023-03-11,US,paid_search,280.41
2023-03-11,US,organic,23.19
2023-03-11,US,social,101.27
2023-03-11,US,email,8.25
2023-03-11,US,referral,21.61
2023-03-12,US,paid_search,144.55
2023-03-12,US,organic,16.9
2023-03-12,US,social,86.22
2023-03-12,US,email,13.23
2023-03-12,US,referral,12.63
2023-03-13,US,paid_search,213.66
2023-03-13,US,organic,14.64
2023-03-13,US,social,95.38
2023-03-13,US,email,22.78
2023-03-13,US,referral,19.25
2023-03-14,US,paid_search,66.14
2023-03-14,US,organic,18.57
2023-03-14,US,social,114.77
2023-03-14,US,email,22.34
2023-03-14,US,referral,17.32
2023-03-15,US,paid_search,202.35
2023-03-15,US,organic,17.67
2023-03-15,US,social,87.62
2023-03-15,US,email,24.92
2023-03-15,US,referral,15.61
2023-03-16,US,paid_search,191.42
2023-03-16,US,organic,22.34
2023-03-16,US,social,114.43
2023-03-16,US,email,15.37
2023-03-16,US,referral,26.93
2023-03-17,US,paid_search,162.38
2023-03-17,US,organic,21.35
2023-03-17,US,social,82.28
2023-03-17,US,email,17.33
2023-03-17,US,referral,22.69
2023-03-18,US,paid_search,196.97
2023-03-18,US,organic,19.85
2023-03-18,US,social,115.34
2023-03-18,US,email,14.81
2023-03-18,US,referral,13.92
2023-03-19,US,paid_search,236.79
2023-03-19,US,organic,15.47
2023-03-19,US,social,75.29
2023-03-19,US,email,12.77
2023-03-19,US,referral,33.59
2023-03-20,US,paid_search,83.89
2023-03-20,US,organic,35.69
2023-03-20,US,social,113.76
2023-03-20,US,email,15.84
2023-03-20,US,referral,24.66
2023-03-21,US,paid_search,192.85
2023-03-21,US,organic,22.61
2023-03-21,US,social,104.52
2023-03-21,US,email,17.08
2023-03-21,US,referral,25.56
2023-03-22,US,paid_search,171.12
2023-03-22,US,organic,19.24
2023-03-22,US,social,85.61
2023-03-22,US,email,19.25
2023-03-22,US,referral,28.71
2023-03-23,US,paid_search,47.68
2023-03-23,US,organic,23.28
2023-03-23,US,social,94.38
2023-03-23,US,email,14.93
2023-03-23,US,referral,22.57
2023-03-24,US,paid_search,230.59
2023-03-24,US,organic,24.74
2023-03-24,US,social,72.61
2023-03-24,US,email,16.53
2023-03-24,US,referral,18.93
2023-03-25,US,paid_search,117.92
2023-03-25,US,organic,16.87
2023-03-25,US,social,109.4
2023-03-25,US,email,18.57
2023-03-25,US,referral,28.21
2023-03-26,US,paid_search,212.63
2023-03-26,US,organic,22.58
2023-03-26,US,social,75.57
2023-03-26,US,email,16.62
2023-03-26,US,referral,30.0
2023-03-27,US,paid_search,213.94
2023-03-27,US,organic,25.94
2023-03-27,US,social,105.94
2023-03-27,US,email,16.32
2023-03-27,US,referral,31.69
2023-03-28,US,paid_search,178.81
2023-03-28,US,organic,15.59
2023-03-28,US,social,86.33
2023-03-28,US,email,12.21
2023-03-28,US,referral,20.78
2023-03-29,US,paid_search,173.5
2023-03-29,US,organic,16.04
2023-03-29,US,social,83.07
2023-03-29,US,email,7.9
2023-03-29,US,referral,26.33
2023-03-30,US,paid_search,180.05
2023-03-30,US,organic,15.91
2023-03-30,US,social,104.83
2023-03-30,US,email,18.52
2023-03-30,US,referral,14.95
2023-03-31,US,paid_search,145.68
2023-03-31,US,organic,16.15
2023-03-31,US,social,68.85
2023-03-31,US,email,18.11
2023-03-31,US,referral,23.79
2023-04-01,US,paid_search,168.1
2023-04-01,US,organic,9.98
2023-04-01,US,social,104.3
2023-04-01,US,email,10.35
2023-04-01,US,referral,25.37
2023-04-02,US,paid_search,192.48
2023-04-02,US,organic,26.8
2023-04-02,US,social,60.55
2023-04-02,US,email,3.68
2023-04-02,US,referral,26.15
2023-04-03,US,paid_search,261.02
2023-04-03,US,organic,26.19
2023-04-03,US,social,94.72
2023-04-03,US,email,13.16
2023-04-03,US,referral,30.04
2023-04-04,US,paid_search,136.19
2023-04-04,US,organic,22.38
2023-04-04,US,social,101.37
2023-04-04,US,email,18.98
2023-04-04,US,referral,42.25
2023-04-05,US,paid_search,197.66
2023-04-05,US,organic,17.46
2023-04-05,US,social,89.42
2023-04-05,US,email,8.37
2023-04-05,US,referral,20.66
2023-04-06,US,paid_search,161.58
2023-04-06,US,organic,17.38
2023-04-06,US,social,93.43
2023-04-06,US,email,11.92
2023-04-06,US,referral,32.01
2023-04-07,US,paid_search,180.01
2023-04-07,US,organic,19.95
2023-04-07,US,social,82.62
2023-04-07,US,email,15.58
2023-04-07,US,referral,30.16
2023-04-08,US,paid_search,140.98
2023-04-08,US,organic,16.71
2023-04-08,US,social,83.17
2023-04-08,US,email,9.95
2023-04-08,US,referral,19.88
2023-04-09,US,paid_search,158.57
2023-04-09,US,organic,24.37
2023-04-09,US,social,95.91
2023-04-09,US,email,15.73
2023-04-09,US,referral,30.32
2023-04-10,US,paid_search,173.82
2023-04-10,US,organic,21.95
2023-04-10,US,social,87.68
2023-04-10,US,email,16.0
2023-04-10,US,referral,21.36
2023-04-11,US,paid_search,70.25
2023-04-11,US,organic,19.33
2023-04-11,US,social,122.01
2023-04-11,US,email,18.47
2023-04-11,US,referral,31.03
2023-04-12,US,paid_search,235.63
2023-04-12,US,organic,20.44
2023-04-12,US,social,94.44
2023-04-12,US,email,12.68
2023-04-12,US,referral,23.02
2023-04-13,US,paid_search,207.71
2023-04-13,US,organic,26.02
2023-04-13,US,social,86.86
2023-04-13,US,email,13.31
2023-04-13,US,referral,25.0
2023-04-14,US,paid_search,207.05
2023-04-14,US,organic,12.78
2023-04-14,US,social,38.34
2023-04-14,US,email,12.94
2023-04-14,US,referral,17.37
2023-04-15,US,paid_search,157.13
2023-04-15,US,organic,19.26
2023-04-15,US,social,79.8
2023-04-15,US,email,20.45
2023-04-15,US,referral,27.04
2023-04-16,US,paid_search,193.52
2023-04-16,US,organic,23.11
2023-04-16,US,social,64.38
2023-04-16,US,email,18.9
2023-04-16,US,referral,24.53
2023-04-17,US,paid_search,210.17
2023-04-17,US,organic,14.64
2023-04-17,US,social,55.04
2023-04-17,US,email,18.07
2023-04-17,US,referral,27.35
2023-04-18,US,paid_search,139.41
2023-04-18,US,organic,15.65
2023-04-18,US,social,115.32
2023-04-18,US,email,10.54
2023-04-18,US,referral,35.27
2023-04-19,US,paid_search,139.47
2023-04-19,US,organic,23.19
2023-04-19,US,social,82.61
2023-04-19,US,email,17.26
2023-04-19,US,referral,21.6
2023-04-20,US,paid_search,172.67
2023-04-20,US,organic,20.2
2023-04-20,US,social,67.45
2023-04-20,US,email,17.78
2023-04-20,US,referral,21.79
2023-04-21,US,paid_search,169.71
2023-04-21,US,organic,15.03
2023-04-21,US,social,32.35
2023-04-21,US,email,14.28
2023-04-21,US,referral,40.08
2023-04-22,US,paid_search,215.31
2023-04-22,US,organic,19.9
2023-04-22,US,social,84.08
2023-04-22,US,email,15.08
2023-04-22,US,referral,28.42
2023-04-23,US,paid_search,126.86
2023-04-23,US,organic,25.57
2023-04-23,US,social,106.1
2023-04-23,US,email,17.69
2023-04-23,US,referral,27.74
2023-04-24,US,paid_search,180.88
2023-04-24,US,organic,23.36
2023-04-24,US,social,103.32
2023-04-24,US,email,13.67
2023-04-24,US,referral,21.41
2023-04-25,US,paid_search,184.58
2023-04-25,US,organic,27.75
2023-04-25,US,social,62.12
2023-04-25,US,email,9.5
2023-04-25,US,referral,26.03
2023-04-26,US,paid_search,182.29
2023-04-26,US,organic,20.87
2023-04-26,US,social,95.49
2023-04-26,US,email,14.16
2023-04-26,US,referral,34.31
2023-04-27,US,paid_search,107.96
2023-04-27,US,organic,15.86
2023-04-27,US,social,87.68
2023-04-27,US,email,8.84
2023-04-27,US,referral,23.9
2023-04-28,US,paid_search,254.77
2023-04-28,US,organic,20.1
2023-04-28,US,social,95.19
2023-04-28,US,email,10.27
2023-04-28,US,referral,21.15
2023-04-29,US,paid_search,163.12
2023-04-29,US,organic,18.41
2023-04-29,US,social,118.84
2023-04-29,US,email,17.09
2023-04-29,US,referral,18.05
2023-04-30,US,paid_search,191.09
2023-04-30,US,organic,22.49
2023-04-30,US,social,115.65
2023-04-30,US,email,20.93
2023-04-30,US,referral,18.66
2023-05-01,US,paid_search,143.51
2023-05-01,US,organic,13.71
2023-05-01,US,social,84.73
2023-05-01,US,email,16.75
2023-05-01,US,referral,31.17
2023-05-02,US,paid_search,176.58
2023-05-02,US,organic,18.4
2023-05-02,US,social,93.41
2023-05-02,US,email,11.87
2023-05-02,US,referral,38.06
2023-05-03,US,paid_search,107.66
2023-05-03,US,organic,20.92
2023-05-03,US,social,135.53
2023-05-03,US,email,15.03
2023-05-03,US,referral,23.81
2023-05-04,US,paid_search,163.91
2023-05-04,US,organic,19.1
2023-05-04,US,social,120.89
2023-05-04,US,email,6.71
2023-05-04,US,referral,34.58
2023-05-05,US,paid_search,115.92
2023-05-05,US,organic,18.67
2023-05-05,US,social,80.34
2023-05-05,US,email,17.21
2023-05-05,US,referral,15.01
2023-05-06,US,paid_search,200.8
2023-05-06,US,organic,30.12
2023-05-06,US,social,59.33
2023-05-06,US,email,15.71
2023-05-06,US,referral,20.86
2023-05-07,US,paid_search,199.16
2023-05-07,US,organic,20.1
2023-05-07,US,social,75.57
2023-05-07,US,email,16.83
2023-05-07,US,referral,36.28
2023-05-08,US,paid_search,171.41
2023-05-08,US,organic,23.6
2023-05-08,US,social,60.9
2023-05-08,US,email,11.41
2023-05-08,US,referral,27.95
2023-05-09,US,paid_search,246.79
2023-05-09,US,organic,21.78
2023-05-09,US,social,82.96
2023-05-09,US,email,15.0
2023-05-09,US,referral,17.18
2023-05-10,US,paid_search,207.2
2023-05-10,US,organic,24.41
2023-05-10,US,social,79.83
2023-05-10,US,email,13.24
2023-05-10,US,referral,26.66
2023-05-11,US,paid_search,160.35
2023-05-11,US,organic,19.67
2023-05-11,US,social,137.24
2023-05-11,US,email,14.07
2023-05-11,US,referral,22.76
2023-05-12,US,paid_search,150.86
2023-05-12,US,organic,23.72
2023-05-12,US,social,85.92
2023-05-12,US,email,12.56
2023-05-12,US,referral,33.26
2023-05-13,US,paid_search,243.88
2023-05-13,US,organic,17.0
2023-05-13,US,social,48.0
2023-05-13,US,email,18.78
2023-05-13,US,referral,20.72
2023-05-14,US,paid_search,215.58
2023-05-14,US,organic,10.15
2023-05-14,US,social,110.08
2023-05-14,US,email,10.46
2023-05-14,US,referral,29.57
2023-05-15,US,paid_search,180.64
2023-05-15,US,organic,15.23
2023-05-15,US,social,80.84
2023-05-15,US,email,17.57
2023-05-15,US,referral,25.66
2023-05-16,US,paid_search,206.3
2023-05-16,US,organic,29.88
2023-05-16,US,social,54.8
2023-05-16,US,email,21.06
2023-05-16,US,referral,25.65
2023-05-17,US,paid_search,139.55
2023-05-17,US,organic,13.35
2023-05-17,US,social,85.74
2023-05-17,US,email,18.46
2023-05-17,US,referral,24.2
2023-05-18,US,paid_search,248.0
2023-05-18,US,organic,12.74
2023-05-18,US,social,89.73
2023-05-18,US,email,10.3
2023-05-18,US,referral,27.27
2023-05-19,US,paid_search,219.91
2023-05-19,US,organic,17.9
2023-05-19,US,social,31.41
2023-05-19,US,email,15.75
2023-05-19,US,referral,27.73
2023-05-20,US,paid_search,198.19
2023-05-20,US,organic,26.18
2023-05-20,US,social,65.9
2023-05-20,US,email,17.55
2023-05-20,US,referral,32.45
2023-05-21,US,paid_search,99.96
2023-05-21,US,organic,21.6
2023-05-21,US,social,78.66
2023-05-21,US,email,14.69
2023-05-21,US,referral,27.17
2023-05-22,US,paid_search,158.07
2023-05-22,US,organic,16.62
2023-05-22,US,social,90.77
2023-05-22,US,email,10.92
2023-05-22,US,referral,18.21
2023-05-23,US,paid_search,210.57
2023-05-23,US,organic,14.26
2023-05-23,US,social,104.99
2023-05-23,US,email,16.73
2023-05-23,US,referral,14.21
2023-05-24,US,paid_search,149.51
2023-05-24,US,organic,25.97
2023-05-24,US,social,67.92
2023-05-24,US,email,13.26
2023-05-24,US,referral,27.89
2023-05-25,US,paid_search,215.25
2023-05-25,US,organic,18.74
2023-05-25,US,social,76.56
2023-05-25,US,email,20.33
2023-05-25,US,referral,35.87
2023-05-26,US,paid_search,224.05
2023-05-26,US,organic,20.43
2023-05-26,US,social,71.81
2023-05-26,US,email,11.89
2023-05-26,US,referral,28.27
2023-05-27,US,paid_search,198.83
2023-05-27,US,organic,27.01
2023-05-27,US,social,104.64
2023-05-27,US,email,9.36
2023-05-27,US,referral,31.57
2023-05-28,US,paid_search,135.09
2023-05-28,US,organic,18.08
2023-05-28,US,social,95.63
2023-05-28,US,email,22.48
2023-05-28,US,referral,44.44
2023-05-29,US,paid_search,207.3
2023-05-29,US,organic,19.08
2023-05-29,US,social,102.03
2023-05-29,US,email,18.33
2023-05-29,US,referral,23.0
2023-05-30,US,paid_search,260.78
2023-05-30,US,organic,21.15
2023-05-30,US,social,101.2
2023-05-30,US,email,17.5
2023-05-30,US,referral,27.63
2023-05-31,US,paid_search,217.75
2023-05-31,US,organic,16.91
2023-05-31,US,social,77.44
2023-05-31,US,email,10.87
2023-05-31,US,referral,27.75
2023-06-01,US,paid_search,215.05
2023-06-01,US,organic,22.29
2023-06-01,US,social,127.68
2023-06-01,US,email,14.98
2023-06-01,US,referral,29.18
2023-06-02,US,paid_search,130.87
2023-06-02,US,organic,18.06
2023-06-02,US,social,105.65
2023-06-02,US,email,18.18
2023-06-02,US,referral,23.16
2023-06-03,US,paid_search,176.78
2023-06-03,US,organic,12.41
2023-06-03,US,social,81.97
2023-06-03,US,email,18.34
2023-06-03,US,referral,28.6
2023-06-04,US,paid_search,202.53
2023-06-04,US,organic,20.25
2023-06-04,US,social,90.16
2023-06-04,US,email,12.52
2023-06-04,US,referral,29.37
2023-06-05,US,paid_search,198.94
2023-06-05,US,organic,22.46
2023-06-05,US,social,78.16
2023-06-05,US,email,6.92
2023-06-05,US,referral,31.86
2023-06-06,US,paid_search,158.45
2023-06-06,US,organic,15.69
2023-06-06,US,social,105.6
2023-06-06,US,email,13.53
2023-06-06,US,referral,31.62
2023-06-07,US,paid_search,207.77
2023-06-07,US,organic,23.42
2023-06-07,US,social,59.27
2023-06-07,US,email,19.54
2023-06-07,US,referral,26.63
2023-06-08,US,paid_search,163.38
2023-06-08,US,organic,20.72
2023-06-08,US,social,50.03
2023-06-08,US,email,16.53
2023-06-08,US,referral,18.57
2023-06-09,US,paid_search,119.13
2023-06-09,US,organic,12.39
2023-06-09,US,social,115.04
2023-06-09,US,email,12.64
2023-06-09,US,referral,34.59
2023-06-10,US,paid_search,155.89
2023-06-10,US,organic,11.46
2023-06-10,US,social,64.88
2023-06-10,US,email,19.63
2023-06-10,US,referral,24.03
2023-06-11,US,paid_search,155.33
2023-06-11,US,organic,20.8
2023-06-11,US,social,101.29
2023-06-11,US,email,19.19
2023-06-11,US,referral,34.05
2023-06-12,US,paid_search,163.81
2023-06-12,US,organic,13.37
2023-06-12,US,social,80.7
2023-06-12,US,email,15.98
2023-06-12,US,referral,18.98
2023-06-13,US,paid_search,136.93
2023-06-13,US,organic,21.72
2023-06-13,US,social,88.91
2023-06-13,US,email,15.12
2023-06-13,US,referral,20.26
2023-06-14,US,paid_search,169.63
2023-06-14,US,organic,15.38
2023-06-14,US,social,110.03
2023-06-14,US,email,18.88
2023-06-14,US,referral,13.46
2023-06-15,US,paid_search,138.17
2023-06-15,US,organic,12.52
2023-06-15,US,social,75.37
2023-06-15,US,email,14.69
2023-06-15,US,referral,15.94
2023-06-16,US,paid_search,138.52
2023-06-16,US,organic,14.98
2023-06-16,US,social,94.66
2023-06-16,US,email,15.26
2023-06-16,US,referral,20.49
2023-06-17,US,paid_search,187.96
2023-06-17,US,organic,17.27
2023-06-17,US,social,83.89
2023-06-17,US,email,21.28
2023-06-17,US,referral,33.38
2023-06-18,US,paid_search,121.52
2023-06-18,US,organic,24.15
2023-06-18,US,social,108.26
2023-06-18,US,email,10.69
2023-06-18,US,referral,30.12
2023-06-19,US,paid_search,249.21
2023-06-19,US,organic,14.39
2023-06-19,US,social,69.36
2023-06-19,US,email,18.82
2023-06-19,US,referral,26.7
2023-06-20,US,paid_search,204.82
2023-06-20,US,organic,21.7
2023-06-20,US,social,98.79
2023-06-20,US,email,10.03
2023-06-20,US,referral,31.55
2023-06-21,US,paid_search,232.63
2023-06-21,US,organic,18.85
2023-06-21,US,social,89.02
2023-06-21,US,email,9.26
2023-06-21,US,referral,28.21
2023-06-22,US,paid_search,205.74
2023-06-22,US,organic,19.69
2023-06-22,US,social,115.3
2023-06-22,US,email,13.75
2023-06-22,US,referral,28.53
2023-06-23,US,paid_search,134.12
2023-06-23,US,organic,19.88
2023-06-23,US,social,86.08
2023-06-23,US,email,15.84
2023-06-23,US,referral,22.69
2023-06-24,US,paid_search,174.08
2023-06-24,US,organic,24.13
2023-06-24,US,social,80.17
