region,month,value,is_forecast
GH,2023-12-01,55.0,False
GH,2024-01-01,64.0,False
GH,2024-02-01,50.0,False
GH,2024-03-01,53.0,False
GH,2024-04-01,48.0,False
GH,2024-05-01,51.0,False
GH,2024-06-01,60.0,False
GH,2024-07-01,46.0,False
GH,2024-08-01,56.0,False
GH,2024-09-01,70.0,False
GH,2024-10-01,48.0,False
GH,2024-11-01,55.0,False
GH,2024-12-01,46.0,False
GH,2025-01-01,50.0,False
GH,2025-02-01,49.0,False
GH,2025-03-01,58.0,False
GH,2025-04-01,55.0,False
GH,2025-05-01,50.0,False
GH,2025-06-01,59.0,False
GH,2025-07-01,48.0,False
GH,2025-08-01,63.0,False
GH,2025-09-01,48.0,False
GH,2025-10-01,60.0,False
GH,2025-11-01,49.0,False
GH,2025-12-01,62.0,False
GH,2026-01-01,51.94285773657468,True
GH,2026-02-01,51.72355260963224,True
GH,2026-03-01,51.50424748268981,True
UK,2009-12-01,2330.0,False
UK,2010-01-01,1633.0,False
UK,2010-02-01,1969.0,False
UK,2010-03-01,2367.0,False
UK,2010-04-01,1892.0,False
UK,2010-05-01,2418.0,False
UK,2010-06-01,2216.0,False
UK,2010-07-01,2017.0,False
UK,2010-08-01,1877.0,False
UK,2010-09-01,2375.0,False
UK,2010-10-01,2965.0,False
UK,2010-11-01,3669.0,False
UK,2010-12-01,2025.0,False
UK,2011-01-01,1476.0,False
UK,2011-02-01,1393.0,False
UK,2011-03-01,1983.0,False
UK,2011-04-01,1744.0,False
UK,2011-05-01,2162.0,False
UK,2011-06-01,2012.0,False
UK,2011-07-01,1927.0,False
UK,2011-08-01,1737.0,False
UK,2011-09-01,2327.0,False
UK,2011-10-01,2637.0,False
UK,2011-11-01,3462.0,False
UK,2011-12-01,1015.0,False
UK,2012-01-01,2129.49052856581,True
UK,2012-02-01,2128.2883385236737,True
UK,2012-03-01,2127.0861484815377,True
US,2023-01-01,58.0,False
US,2023-02-01,44.0,False
US,2023-03-01,48.0,False
US,2023-04-01,65.0,False
US,2023-05-01,73.0,False
US,2023-06-01,33.0,False
US,2023-07-01,60.0,False
US,2023-08-01,57.0,False
US,2023-09-01,45.0,False
US,2023-10-01,63.0,False
US,2023-11-01,64.0,False
US,2023-12-01,68.0,False
US,2024-01-01,60.0,False
US,2024-02-01,56.0,False
US,2024-03-01,58.0,False
US,2024-04-01,52.0,False
US,2024-05-01,42.0,False
US,2024-06-01,52.0,False
US,2024-07-01,65.0,False
US,2024-08-01,52.0,False
US,2024-09-01,57.0,False
US,2024-10-01,64.0,False
US,2024-11-01,55.0,False
US,2024-12-01,61.0,False
US,2025-01-01,45.0,False
US,2025-02-01,61.0,False
US,2025-03-01,66.0,False
US,2025-04-01,53.0,False
US,2025-05-01,52.0,False
US,2025-06-01,62.0,False
US,2025-07-01,58.0,False
US,2025-08-01,49.0,False
US,2025-09-01,34.0,False
US,2025-10-01,58.0,False
US,2025-11-01,62.0,False
US,2025-12-01,66.0,False
US,2026-01-01,56.4698243683728,True
US,2026-02-01,56.49221777436583,True
US,2026-03-01,56.51461118035886,True
