order_id,region,amount_usd,baseline,z_score
US-ORD-000434,US,118.37,customer,6.051840721262269
US-ORD-000435,US,13.36,customer,-3.3131817501581953
US-ORD-000443,US,91.83,customer,4.767900969898537
US-ORD-000450,US,124.11,customer,4.867265575220298
US-ORD-000457,US,3.0,customer,-9.831060239833441
US-ORD-000463,US,74.59,customer,3.173618243706549
US-ORD-000466,US,15.97,customer,-3.1072975634298783
US-ORD-000469,US,77.9,customer,25.957915831662763
US-ORD-000473,US,59.83,customer,-11.624912033778498
US-ORD-000493,US,165.6,customer,5.86501670331598
US-ORD-000497,US,128.36,customer,3.0008197166179067
US-ORD-000509,US,48.76,customer,-5.582841796896648
US-ORD-000528,US,3.0,customer,-3.774981056397512
US-ORD-000535,US,106.34,customer,3.6730075434568703
US-ORD-000546,US,3.24,customer,-9.973578099991647
US-ORD-000563,US,94.3,customer,7.325025651033403
US-ORD-000603,US,162.25,customer,5.142524604795467
US-ORD-000612,US,55.4,customer,-4.619131197893865
US-ORD-000616,US,157.72,customer,13.937434756215245
US-ORD-000626,US,147.55,customer,3.3017447200072816
US-ORD-000628,US,3.0,customer,-31.72492836676272
US-ORD-000640,US,123.42,customer,19.311475409836124
US-ORD-000641,US,72.27,customer,-4.776255707763687
US-ORD-000660,US,154.89,customer,3.12914562490626
US-ORD-000664,US,3.0,customer,-3.7464828195003204
US-ORD-000670,US,147.7,customer,4.5318916335852695
US-ORD-000672,US,94.08,customer,5.506448323302609
US-ORD-000689,US,194.0,customer,3.538021254407284
US-ORD-000697,US,3.0,customer,-3.164550389077624
US-ORD-000698,US,122.52,customer,10.87747035573076
US-ORD-000703,US,104.52,customer,4.341954830518546
US-ORD-000705,US,40.22,customer,-3.5930504297940113
US-ORD-000708,US,107.63,customer,7.584654407102064
US-ORD-000711,US,123.16,customer,9.910942387209218
US-ORD-000716,US,3.0,customer,-3.109559238429213
US-ORD-000721,US,136.23,customer,8.816667531209777
US-ORD-000732,US,61.33,customer,-3.928709055876694
US-ORD-000739,US,78.99,customer,-6.6700507614212245
US-ORD-000741,US,68.72,customer,-16.06663255921555
US-ORD-000742,US,102.05,customer,4.091236186070418
US-ORD-000745,US,54.6,customer,-3.1063226696323216
US-ORD-000762,US,79.58,customer,5.220123203285421
US-ORD-000779,US,3.0,customer,-4.3166174424405215
US-ORD-000780,US,10.92,customer,-4.347910972276478
US-ORD-000800,US,101.3,customer,3.605293979854767
US-ORD-000805,US,18.64,customer,-3.8551253458669796
US-ORD-000818,US,153.25,customer,5.624188105817411
US-ORD-000821,US,104.27,customer,4.485481573481101
US-ORD-000823,US,164.81,customer,4.493939386939842
US-ORD-000824,US,102.3,customer,4.038462174690466
US-ORD-000844,US,28.68,customer,-12.518783700105367
US-ORD-000845,US,125.07,customer,3.0436579749769797
US-ORD-000852,US,90.47,customer,-6.034550839091349
US-ORD-000862,US,144.21,customer,18.933714285715183
US-ORD-000872,US,3.0,customer,-3.0611092660245762
US-ORD-000887,US,164.66,customer,3.6772649274779283
US-ORD-000895,US,37.86,customer,-16.061433447099127
US-ORD-000900,US,82.88,customer,3.03094619920471
US-ORD-000903,US,102.31,customer,5.475141468648883
US-ORD-000904,US,96.31,customer,4.311546840958564
US-ORD-000906,US,118.91,customer,3.2156755773777057
US-ORD-000909,US,184.2,customer,7.229823784172732
US-ORD-000911,US,168.98,customer,3.3057822431060124
US-ORD-000912,US,159.19,customer,3.227771578705496
US-ORD-000920,US,192.94,customer,10.690887128331797
US-ORD-000938,US,138.47,customer,4.076393413975754
US-ORD-000947,US,75.7,customer,3.368778280542913
US-ORD-000954,US,99.85,customer,4.884629466738136
US-ORD-000967,US,122.03,customer,3.044741129081962
US-ORD-000969,US,143.96,customer,4.476038338658291
US-ORD-000980,US,3.0,customer,-11.210982521942043
US-ORD-000986,US,115.29,customer,3.5679758308156586
US-ORD-000989,US,41.4,customer,-6.3859812351074
US-ORD-000992,US,96.57,customer,4.7969739473882065
US-ORD-001003,US,69.75,customer,-3.1266711071827316
US-ORD-001010,US,117.82,customer,4.136211138447775
US-ORD-001033,US,3.0,customer,-3.0899647364339913
US-ORD-001035,US,251.68,customer,8.112417490278933
US-ORD-001036,US,152.61,customer,5.273603564998161
US-ORD-001055,US,23.35,customer,-4.11025792414111
US-ORD-001064,US,87.15,customer,7.729253112033197
US-ORD-001081,US,12.13,customer,-3.930140660505346
US-ORD-001087,US,45.38,customer,-7.693894339354938
US-ORD-001091,US,85.09,customer,-5.955128205127978
US-ORD-001094,US,43.08,customer,-10.927312775329867
US-ORD-001098,US,51.18,customer,-22.536807278742
US-ORD-001099,US,153.97,customer,5.8169014084507475
US-ORD-001101,US,151.61,customer,8.349547511312421
US-ORD-001105,US,24.73,customer,-4.781474820143896
US-ORD-001106,US,72.45,customer,10.636048526863096
US-ORD-001112,US,149.23,customer,9.921155692325149
US-ORD-001137,US,102.37,customer,4.539473684210535
US-ORD-001160,US,161.01,customer,3.5717473163869644
US-ORD-001161,US,120.33,customer,5.401138395631117
US-ORD-001206,US,3.0,customer,-13.090315560391774
US-ORD-001210,US,156.32,customer,3.5809949344551244
US-ORD-001223,US,167.11,customer,4.914813158745225
US-ORD-001233,US,177.26,customer,9.133646981466672
US-ORD-001236,US,146.49,customer,5.286724182066284
US-ORD-001243,US,82.05,customer,-6.135273972602669
US-ORD-001249,US,137.39,customer,30.031963470323824
US-ORD-001250,US,3.0,customer,-6.056011291244048
US-ORD-001251,US,72.11,customer,5.579203927137474
US-ORD-001252,US,143.86,customer,4.7061165399927845
US-ORD-001257,US,128.13,customer,3.5567674764501738
US-ORD-001259,US,13.24,customer,-3.9385129920246937
US-ORD-001269,US,19.24,customer,-6.430983251659232
US-ORD-001282,US,85.1,customer,3.218208004845995
US-ORD-001283,US,61.61,customer,-5.178010471204159
US-ORD-001291,US,102.19,customer,19.486238532110306
US-ORD-001322,US,111.91,customer,3.8959316700382103
US-ORD-001330,US,122.58,customer,3.909350834739424
US-ORD-001350,US,139.3,customer,4.1187006813569615
US-ORD-001389,US,12.19,customer,-3.359249707815186
US-ORD-001393,US,149.41,customer,3.3061575100952267
US-ORD-001405,US,49.97,customer,-3.0860986936482595
US-ORD-001414,US,59.86,customer,-7.792664778251609
US-ORD-001424,US,173.28,customer,27.503730973246274
US-ORD-001429,US,3.0,customer,-9.940203562340978
US-ORD-001434,US,216.84,customer,6.4671093587881385
US-ORD-001438,US,3.0,customer,-5.671923401858638
US-ORD-001449,US,3.0,customer,-3.186619643145795
US-ORD-001452,US,11.27,customer,-4.40687211179217
US-ORD-001464,US,30.37,customer,-6.6017130620985025
US-ORD-001467,US,5.81,customer,-3.479567983438366
US-ORD-001471,US,150.54,customer,4.210515251602344
US-ORD-001498,US,96.59,customer,4.2689551112787605
US-ORD-001501,US,5.57,customer,-3.581509602501127
US-ORD-001503,US,97.12,customer,-5.0282846715328775
US-ORD-001513,US,31.36,customer,-4.212153900256737
US-ORD-001516,US,110.9,customer,3.3182597348788856
US-ORD-001527,US,5.56,customer,-3.2262720454079927
US-ORD-001545,US,6.28,customer,-4.83484719114222
US-ORD-001550,US,54.09,customer,-4.888464702928823
US-ORD-001569,US,128.8,customer,3.727546035325067
US-ORD-001576,US,47.66,customer,-3.4800580130529544
US-ORD-001577,US,10.53,customer,-4.02829287945322
US-ORD-001580,US,34.47,customer,-3.3626703286649735
US-ORD-001587,US,102.4,customer,10.676612127045304
US-ORD-001601,US,88.35,customer,-4.447196870925391
US-ORD-001603,US,104.79,customer,3.9511074975458644
US-ORD-001610,US,21.25,customer,-9.446337308347385
US-ORD-001616,US,38.77,customer,-4.661856963613535
US-ORD-001620,US,86.95,customer,10.34324942791719
US-ORD-001626,US,126.49,customer,5.061959771617841
US-ORD-001628,US,117.53,customer,5.127946127946009
US-ORD-001644,US,156.92,customer,11.469450759460006
US-ORD-001647,US,110.28,customer,10.933962264151445
US-ORD-001651,US,3.0,customer,-4.25177702955481
US-ORD-001670,US,147.73,customer,11.894280762564923
US-ORD-001675,US,141.69,customer,3.5219223938658333
US-ORD-001708,US,79.4,customer,-9.580924855491022
US-ORD-001710,US,88.27,customer,3.0856684624551782
US-ORD-001719,US,3.0,customer,-6.8806948541461885
US-ORD-001730,US,104.68,customer,6.952569169960498
US-ORD-001750,US,213.46,region,3.2084891920594436
US-ORD-001754,US,136.83,customer,28.440129449840256
US-ORD-001755,US,103.46,customer,4.732736148425433
US-ORD-001766,US,84.51,customer,-7.79286694101526
US-ORD-001776,US,42.23,customer,-3.0211091782314785
US-ORD-001780,US,12.48,customer,-6.491103758893579
US-ORD-001788,US,3.0,customer,-10.032967032967033
US-ORD-001806,US,132.96,customer,16.02635488042421
US-ORD-001807,US,131.45,customer,3.4469541639699024
US-ORD-001809,US,173.33,customer,5.058418156039164
US-ORD-001828,US,3.0,customer,-4.278179368078927
US-ORD-001844,US,3.8,customer,-4.119742169748698
US-ORD-001847,US,121.52,customer,13.071729957805656
US-ORD-001850,US,177.41,customer,3.373392403476573
US-ORD-001854,US,3.0,customer,-16.1287793952966
US-ORD-001861,US,54.92,customer,-3.104556354916041
US-ORD-001887,US,8.27,customer,-3.5986013986014007
US-ORD-001895,US,8.83,customer,-3.798993796012848
US-ORD-001913,US,74.59,customer,-6.826711007918546
US-ORD-001916,US,40.27,customer,-3.4878731343283507
US-ORD-001923,US,115.27,customer,3.7767146398888287
US-ORD-001928,US,146.5,customer,4.1300498063088025
US-ORD-001931,US,190.74,customer,5.172526741789292
US-ORD-001954,US,36.72,customer,-4.964753085034796
US-ORD-001972,US,17.59,customer,-4.473967963419872
US-ORD-001976,US,3.0,customer,-3.0438814581545035
US-ORD-001994,US,27.95,customer,-7.663759689922503
DE-ORD-000002,DE,160.25835688757036,customer,6.487632508830903
DE-ORD-000005,DE,144.28040832535214,customer,7.9954430520728845
DE-ORD-000013,DE,154.32502511154195,customer,6.105015673981202
DE-ORD-000025,DE,145.51846574318483,customer,8.404489897808862
DE-ORD-000029,DE,137.09733934453035,customer,11.319092854853524
DE-ORD-000051,DE,152.35114111518604,customer,5.565307710303952
DE-ORD-000059,DE,3.503936088205751,customer,-4.76676836567721
DE-ORD-000063,DE,101.24039337522484,customer,3.5897045092358986
DE-ORD-000066,DE,13.57191244831694,customer,-4.216609996173831
DE-ORD-000073,DE,69.78672709009787,customer,13.91458607095935
DE-ORD-000074,DE,162.1271228012801,customer,8.548285166328066
DE-ORD-000094,DE,3.503936088205751,customer,-8.465760077707554
DE-ORD-000104,DE,3.503936088205751,customer,-5.268215154779671
DE-ORD-000107,DE,85.16900651732112,customer,4.76891334250343
DE-ORD-000114,DE,13.82886776145203,customer,-7.772602739726164
DE-ORD-000122,DE,111.33172930925738,customer,3.5479866787768697
DE-ORD-000130,DE,131.15232778154126,customer,6.566084210455701
DE-ORD-000134,DE,9.577425307762384,customer,-7.443523050299503
DE-ORD-000146,DE,147.9595412179682,customer,4.024256918346428
DE-ORD-000155,DE,113.07201756639958,customer,3.686517783291976
DE-ORD-000163,DE,3.503936088205751,customer,-4.9831932773108925
DE-ORD-000166,DE,114.20495690158612,customer,-5.242753623188403
DE-ORD-000192,DE,122.1238524609311,customer,3.4049908524257853
DE-ORD-000193,DE,37.17676189586302,customer,-8.244033872209307
DE-ORD-000197,DE,143.8365764208461,customer,6.587763656338395
DE-ORD-000201,DE,25.006423882828376,customer,-4.326322498406617
DE-ORD-000205,DE,78.7451236889439,customer,-11.194117647060043
DE-ORD-000207,DE,36.6978906304749,customer,-3.0603010537741198
DE-ORD-000209,DE,35.17951832558574,customer,-4.326813061318032
DE-ORD-000210,DE,82.28409913803172,customer,-4.8901497957331665
DE-ORD-000211,DE,7.895535985423625,customer,-7.728286297570431
DE-ORD-000220,DE,74.89079399191759,customer,8.874769797421514
DE-ORD-000225,DE,177.6378798850709,customer,9.722996063180648
DE-ORD-000232,DE,74.48200144829359,customer,4.014429950840552
DE-ORD-000233,DE,99.03291363965522,customer,3.4902087909346937
DE-ORD-000235,DE,47.88712653881193,customer,-16.429508196722985
DE-ORD-000238,DE,42.362587306407534,customer,-4.858787909665391
DE-ORD-000244,DE,3.503936088205751,customer,-5.559667359667322
DE-ORD-000256,DE,140.22752224999417,customer,3.14893732217078
DE-ORD-000266,DE,179.09785325515662,customer,3.8318580329613146
DE-ORD-000281,DE,171.15559812189025,customer,3.014079563178357
DE-ORD-000304,DE,25.450255787334438,customer,4.364522417153984
DE-ORD-000324,DE,3.503936088205751,customer,-14.2413223140498
DE-ORD-000332,DE,120.18500782545726,customer,6.34382228782307
DE-ORD-000340,DE,151.03132518862856,customer,18.239908606244988
DE-ORD-000356,DE,141.23198392861315,customer,8.203656563309487
DE-ORD-000357,DE,141.38382115910204,customer,24.46996528564264
DE-ORD-000363,DE,146.67476465229274,customer,5.381343166108043
DE-ORD-000364,DE,139.4332967366675,customer,3.873805208259565
DE-ORD-000374,DE,21.502487794622624,customer,-23.598290598290305
DE-ORD-000403,DE,96.91887219977107,customer,3.392634479353231
DE-ORD-000411,DE,139.57345418019574,customer,3.151080508524208
DE-ORD-000414,DE,124.13277581816907,customer,-4.337890624999903
DE-ORD-000417,DE,155.09589105094722,customer,9.550264007003767
DE-ORD-000418,DE,36.68621084351421,customer,-9.172274562584299
DE-ORD-000431,DE,170.7000864304235,customer,4.258385985465861
DE-ORD-000436,DE,129.26020229391014,customer,3.1051643562662634
DE-ORD-000456,DE,3.503936088205751,customer,-6.291808618274625
DE-ORD-000460,DE,188.20808708449155,customer,3.7523275385348054
DE-ORD-000476,DE,20.68490270737462,customer,-6.116603295310519
DE-ORD-000482,DE,3.503936088205751,customer,-3.6815468742254973
DE-ORD-000493,DE,118.73671424233221,customer,11.409390470820558
DE-ORD-000503,DE,112.59314630101147,customer,3.5530345983934843
DE-ORD-000504,DE,160.78394730080123,customer,5.8306742151312205
DE-ORD-000507,DE,134.03723516083068,customer,4.33433171096968
DE-ORD-000508,DE,20.25275058982924,customer,-3.296321070234118
DE-ORD-000509,DE,168.7262024340676,customer,15.173616282922435
DE-ORD-000517,DE,88.84813940993715,customer,4.210007838361166
DE-ORD-000521,DE,166.84575673339717,customer,3.1579312827719064
DE-ORD-000524,DE,25.882407904879813,customer,-3.976190476190488
DE-ORD-000557,DE,153.729355976547,customer,34.49735449734909
DE-ORD-000560,DE,3.503936088205751,customer,-8.693650793650702
DE-ORD-000561,DE,103.6581092760868,customer,13.534874777191352
DE-ORD-000567,DE,89.66572449718517,customer,4.191286589516674
DE-ORD-000602,DE,106.94012941203952,customer,3.4226107196465003
DE-ORD-000607,DE,184.76254993108924,customer,5.386789081780252
DE-ORD-000610,DE,84.0360671821346,customer,3.3241585356641066
DE-ORD-000615,DE,163.21334298862388,customer,3.2568808536324467
DE-ORD-000632,DE,206.54535261276834,customer,4.3850532952431145
DE-ORD-000633,DE,137.85652549697494,customer,13.076753413870675
DE-ORD-000647,DE,78.4998481627695,customer,3.5503643377625416
DE-ORD-000648,DE,96.8020743301642,customer,3.5756891650651013
DE-ORD-000663,DE,110.63094209161623,customer,3.688010791631371
DE-ORD-000676,DE,121.25954822584035,customer,4.6667066998475875
DE-ORD-000684,DE,3.503936088205751,customer,-4.648837209302327
DE-ORD-000698,DE,96.70863603447872,customer,4.695918630739635
DE-ORD-000703,DE,131.87647457310376,customer,3.6034292704905484
DE-ORD-000706,DE,62.11310705692728,customer,-3.3211331039001406
DE-ORD-000708,DE,122.88303861337567,customer,14.098703888334974
DE-ORD-000716,DE,3.503936088205751,customer,-13.280943025539907
DE-ORD-000720,DE,3.503936088205751,customer,-8.976619332850955
DE-ORD-000744,DE,76.25732906631784,customer,16.104803493450323
DE-ORD-000753,DE,30.21560886729426,customer,-6.287009063444108
DE-ORD-000755,DE,90.75194468452895,customer,18.12991420413381
DE-ORD-000768,DE,90.68186596276483,customer,3.259423503325878
DE-ORD-000778,DE,196.20874115256137,customer,3.0660378620729505
DE-ORD-000782,DE,88.94157770562265,customer,3.7299255528979782
DE-ORD-000804,DE,3.503936088205751,customer,-7.018998099390293
DE-ORD-000818,DE,140.95166904155667,customer,3.223634053367214
DE-ORD-000823,DE,167.0910322595716,customer,5.754221461296123
DE-ORD-000824,DE,13.058001822046764,customer,-3.7768496558730043
DE-ORD-000846,DE,35.693428951855914,customer,-9.7674244067632
DE-ORD-000848,DE,68.16323670256254,customer,-10.910256410256084
DE-ORD-000857,DE,171.75126725688523,customer,4.565825958889098
DE-ORD-000868,DE,60.29106029106028,customer,3.4447741215138095
DE-ORD-000874,DE,132.63566072554835,customer,4.20561208931685
DE-ORD-000879,DE,170.05769814758577,customer,8.917893797411994
DE-ORD-000889,DE,110.93461655259408,customer,6.651462708424885
DE-ORD-000898,DE,105.86558901165643,customer,5.0931445603576835
DE-ORD-000902,DE,52.442243453479406,customer,-6.098696461824604
DE-ORD-000903,DE,86.36034478731108,customer,4.318180449520997
DE-ORD-000907,DE,192.93840080356932,customer,3.149444886816951
DE-ORD-000915,DE,90.9621808498213,customer,3.0683760683760672
DE-ORD-000918,DE,114.92910369314863,customer,3.235179786200198
DE-ORD-000926,DE,87.62176177906514,customer,15.693409742120476
DE-ORD-000932,DE,3.503936088205751,customer,-16.080291970803014
DE-ORD-000934,DE,70.87294727744165,customer,-3.4494382022475203
DE-ORD-000937,DE,143.75481791212127,customer,3.933167409819005
DE-ORD-000938,DE,3.503936088205751,customer,-13.221957734477705
DE-ORD-000939,DE,82.1322619075428,customer,-3.10278041597328
DE-ORD-000944,DE,173.85362890980866,customer,5.701567583555148
DE-ORD-000947,DE,6.70419771543367,customer,-3.3108116043755893
DE-ORD-000953,DE,54.62636361512766,customer,-3.0487902576397428
DE-ORD-000955,DE,76.19893013151439,customer,5.042346022095864
DE-ORD-000958,DE,147.63250718306898,customer,6.700088134162699
DE-ORD-000962,DE,225.81700109789998,customer,5.5575274067462175
DE-ORD-000966,DE,52.89775514494615,customer,-5.214051819558703
DE-ORD-000971,DE,26.034245135368728,customer,-3.2055862054788133
DE-ORD-000979,DE,163.52869723656238,customer,12.783068783068764
DE-ORD-000988,DE,156.14707187740893,customer,9.729885057471238
DE-ORD-000994,DE,79.79630451540562,customer,6.199999999999938
DE-ORD-000996,DE,90.67018617580415,customer,3.324404761904783
DE-ORD-001010,DE,11.200915695297716,customer,-4.1259217124688385
DE-ORD-001029,DE,40.61061926230466,customer,-4.515208235844596
DE-ORD-001032,DE,173.9937863533369,customer,3.562855733664331
DE-ORD-001043,DE,97.1407881520241,customer,4.979865771812233
DE-ORD-001061,DE,30.822957789249923,customer,-11.109850746268545
DE-ORD-001066,DE,151.26492092784227,customer,3.4700503022187705
DE-ORD-001070,DE,128.24406082833048,customer,4.663896265523218
DE-ORD-001073,DE,83.96598846037048,customer,7.881704628949286
DE-ORD-001081,DE,32.11941414188605,customer,-4.987777284676484
DE-ORD-001090,DE,190.69588170711765,customer,3.7065266334570457
DE-ORD-001098,DE,128.75797145460066,customer,4.403518935910211
DE-ORD-001099,DE,85.29748417388866,customer,3.4852374839537856
DE-ORD-001125,DE,99.4533859702399,customer,-6.4154727793701
DE-ORD-001127,DE,180.02055642505078,customer,8.438799076211053
DE-ORD-001135,DE,99.14971150926206,customer,18.47461368653285
DE-ORD-001143,DE,10.12637529491462,customer,-4.7937981674551775
DE-ORD-001162,DE,78.72176411502254,customer,3.1117537527648413
DE-ORD-001175,DE,58.92452521666005,customer,-3.273527420446863
DE-ORD-001184,DE,3.503936088205751,customer,-3.4261733091270945
DE-ORD-001221,DE,24.305636665187222,customer,-5.219791175717942
DE-ORD-001222,DE,62.60365810927608,customer,-3.1709503885236554
DE-ORD-001224,DE,7.346585998271391,customer,-3.07449884890941
DE-ORD-001228,DE,89.54892662757831,customer,5.7411764705882335
DE-ORD-001236,DE,45.5161297857927,customer,-5.038484156340053
DE-ORD-001262,DE,52.81599663622135,customer,-3.7423313497620416
DE-ORD-001263,DE,142.06124880282184,customer,7.5831012070562815
DE-ORD-001265,DE,3.503936088205751,customer,-3.0787580633452034
DE-ORD-001283,DE,106.16926347263426,customer,-3.7463560982652977
DE-ORD-001294,DE,120.10324931673246,customer,3.9997680422849666
DE-ORD-001298,DE,117.59209512018501,customer,12.4230171073095
DE-ORD-001319,DE,35.96206405195169,customer,-6.502817963833563
DE-ORD-001321,DE,9.600784881683758,customer,-7.5359525574499795
DE-ORD-001330,DE,3.503936088205751,customer,-4.106082287859154
DE-ORD-001335,DE,41.89539582798009,customer,-6.719191148416546
DE-ORD-001353,DE,161.2861781401107,customer,6.158536329135153
DE-ORD-001357,DE,80.21677684599034,customer,18.17680372814849
DE-ORD-001369,DE,58.3872550164685,customer,3.713139418254763
DE-ORD-001370,DE,138.66243079726226,customer,9.830150753769006
DE-ORD-001377,DE,75.81349716181175,customer,3.880072487754336
DE-ORD-001384,DE,52.267046649069115,customer,-3.6498117747469054
DE-ORD-001389,DE,74.36520357868672,customer,-4.18065815983893
DE-ORD-001415,DE,13.385035856945969,customer,-3.322797882825775
DE-ORD-001416,DE,133.40652666495362,customer,5.353951274010281
DE-ORD-001429,DE,163.90245041930436,customer,3.970784449045314
DE-ORD-001435,DE,121.11939078231212,customer,3.9679191494705948
DE-ORD-001445,DE,137.6346095447219,customer,5.276899166174866
DE-ORD-001469,DE,182.50835104767688,customer,3.2134651455489576
DE-ORD-001489,DE,41.3114064799458,customer,-18.278523489932986
DE-ORD-001491,DE,97.43278282604125,customer,6.269445167642426
DE-ORD-001494,DE,103.21427737158074,customer,5.009528688600679
DE-ORD-001495,DE,9.82270083393679,customer,-3.0851710521236764
DE-ORD-001527,DE,49.253661613212174,customer,-5.32193153250106
DE-ORD-001532,DE,112.42962928356187,customer,9.902654867256798
DE-ORD-001536,DE,85.04052886075358,customer,-5.54644954959362
DE-ORD-001537,DE,76.00037375318273,customer,5.387713310580211
DE-ORD-001554,DE,81.04604172019901,customer,20.150278293135795
DE-ORD-001569,DE,20.077553785418953,customer,-3.114227779655286
DE-ORD-001570,DE,123.04655563082528,customer,4.689639434048377
DE-ORD-001577,DE,38.88201079212315,customer,-3.6770646893377767
DE-ORD-001583,DE,157.18657291691,customer,3.3034588326539156
DE-ORD-001591,DE,146.4528487000397,customer,3.873632051678849
DE-ORD-001595,DE,51.8699338924058,customer,-6.29694782127158
DE-ORD-001596,DE,35.92702469106963,customer,-7.969570219713879
DE-ORD-001606,DE,129.0499661286178,customer,5.282695583736124
DE-ORD-001612,DE,102.73540610619261,customer,5.95646761782812
DE-ORD-001615,DE,3.503936088205751,customer,-5.732341728584262
DE-ORD-001633,DE,157.96911864327595,customer,12.039354187688904
DE-ORD-001649,DE,106.9518091990002,customer,3.587710264332298
DE-ORD-001665,DE,143.34602536849727,customer,6.277209861695708
DE-ORD-001673,DE,169.8708215562148,customer,5.441948602877286
DE-ORD-001674,DE,123.73566306150575,customer,3.8984971248594222
DE-ORD-001675,DE,101.0184774229718,customer,6.962316817864575
DE-ORD-001676,DE,133.243009647504,customer,3.1766343448245107
DE-ORD-001682,DE,3.503936088205751,customer,-3.4226507877620556
DE-ORD-001716,DE,116.55259408068397,customer,5.714596949891068
DE-ORD-001717,DE,126.20009811021046,customer,4.736053288925894
DE-ORD-001726,DE,103.3193954542269,customer,8.038750000000002
DE-ORD-001735,DE,15.137003901048844,customer,-4.054576463899937
DE-ORD-001740,DE,180.18407344250042,customer,4.647567868692931
DE-ORD-001744,DE,124.28461304865797,customer,4.691523853635944
DE-ORD-001769,DE,45.44605106402859,customer,-5.325807879592813
DE-ORD-001779,DE,79.69118643275947,customer,-6.156167979002472
DE-ORD-001787,DE,83.26520124272933,customer,-3.2925383103652983
DE-ORD-001798,DE,3.503936088205751,customer,-7.464632792677137
DE-ORD-001805,DE,69.16769838118152,customer,3.0756422194028668
DE-ORD-001819,DE,37.935948048307594,customer,-3.73741096183782
DE-ORD-001820,DE,3.503936088205751,customer,-3.055111310956198
DE-ORD-001823,DE,83.98934803429185,customer,-3.7926960257784654
DE-ORD-001828,DE,156.27554953397652,customer,3.9939671312669045
DE-ORD-001830,DE,89.70076385806722,customer,-3.302264139760274
DE-ORD-001838,DE,139.56177439323505,customer,4.325207867624168
DE-ORD-001858,DE,8.52624448130066,customer,-4.037756679178622
DE-ORD-001873,DE,70.52255366862109,customer,-6.333304186254141
DE-ORD-001899,DE,139.64353290195987,customer,13.636018007052236
DE-ORD-001922,DE,96.93055198673176,customer,4.485949363895409
DE-ORD-001932,DE,148.05297951365367,customer,7.098397545955991
DE-ORD-001939,DE,105.19984115489731,customer,6.761336515512896
DE-ORD-001941,DE,129.6339554766521,customer,3.3785465841853703
DE-ORD-001948,DE,68.3617930808942,customer,-3.00642496558053
